Mark,Competitor,DOB,Nat,Venue,Date
1:45.75,Marco AROP,20 Sep 1998,CAN,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",19 Aug 2020
1:45.77,Marcin LEWANDOWSKI,13 Jun 1987,POL,"Stadion Śląski, Chorzów (POL)",06 Sep 2020
1:45.79,Marcin LEWANDOWSKI,13 Jun 1987,POL,"Stadion Śląski, Chorzów (POL)",25 Aug 2020
1:45.85,Peter BOL,22 Feb 1994,AUS,"SOPAC, Sydney (AUS)",22 Feb 2020
1:45.86,Collins KIPRUTO,12 Apr 1994,KEN,"Arena, Toruń (POL) (i)",08 Feb 2020
1:45.86,Andreas KRAMER,13 Apr 1997,SWE,"Slottsskogsvallen, Göteborg (SWE)",25 Jul 2020
1:45.86,Joseph DENG,07 Jul 1998,AUS,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",19 Aug 2020
1:45.86,Bryce HOPPEL,05 Sep 1997,USA,"Suhaim bin Hamad Stadium, Doha (QAT)",25 Sep 2020
1:45.88,Wesley VÁZQUEZ,27 Mar 1994,PUR,"Olympiastadion, Stockholm (SWE)",23 Aug 2020
1:45.89,Joseph DENG,07 Jul 1998,AUS,"SOPAC, Sydney (AUS)",22 Feb 2020
1:45.92,Peter BOL,22 Feb 1994,AUS,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",19 Aug 2020
1:45.93,Collins KIPRUTO,12 Apr 1994,KEN,"Stadion De Veen, Heusden-Zolder (BEL)",06 Sep 2020
1:45.93,Álvaro DE ARRIBA,02 Jun 1994,ESP,"Stadion Śląski, Chorzów (POL)",06 Sep 2020
1:45.94,Daniel ROWDEN,09 Sep 1997,GBR,"Sportcity Regional Arena, Manchester (GBR)",05 Sep 2020
1:45.94,Peter BOL,22 Feb 1994,AUS,"Sports Park Mladost, Zagreb (CRO)",15 Sep 2020
1:45.96,Djoao LOBLES,14 Jan 2001,NED,"Stadion De Veen, Heusden-Zolder (BEL)",06 Sep 2020
1:45.97,Amel TUKA,09 Jan 1991,BIH,"Stade Louis II, Monaco (MON)",14 Aug 2020
1:46.00,Guy LEARMONTH,20 Apr 1992,GBR,"Mestský Stadion, Ostrava (CZE)",08 Sep 2020
1:46.01,Adam KSZCZOT,02 Sep 1989,POL,"Arena, Toruń (POL) (i)",08 Feb 2020
1:46.01,Isaiah HARRIS,18 Oct 1996,USA,"Armory Track&Field Center, New York, NY (USA) (i)",08 Feb 2020
1:46.02,Max BURGIN,20 May 2002,GBR,"Olympiastadion, Stockholm (SWE)",23 Aug 2020
1:46.05,Marcin LEWANDOWSKI,13 Jun 1987,POL,"Arena, Toruń (POL) (i)",08 Feb 2020
1:46.05,Adam KSZCZOT,02 Sep 1989,POL,"Stadion Śląski, Chorzów (POL)",25 Aug 2020
1:46.09,Collins KIPRUTO,12 Apr 1994,KEN,"Gallur, Madrid (ESP) (i)",21 Feb 2020
1:46.11,Jake WIGHTMAN,11 Jul 1994,GBR,"Stadion Śląski, Chorzów (POL)",25 Aug 2020
1:46.11,Joseph DENG,07 Jul 1998,AUS,"Sports Park Mladost, Zagreb (CRO)",15 Sep 2020
1:46.13,Marc REUTHER,23 Jun 1996,GER,"Leichtathletikhalle im Arena-Sportpark, Düsseldorf (GER) (i)",04 Feb 2020
1:46.13,Michael SARUNI,18 Jun 1995,KEN,"Lipscomb Academy, Nashville, TN (USA)",15 Aug 2020
1:46.16,Eliott CRESTAN,22 Feb 1999,BEL,"Stadion De Veen, Heusden-Zolder (BEL)",06 Sep 2020
1:46.18,Balázs VINDICS,28 Mar 1994,HUN,"Egyetemi Stadion, Veszprém (HUN)",02 Jul 2020
1:46.20,Balázs VINDICS,28 Mar 1994,HUN,"BOK Csarnok, Budapest (HUN) (i)",23 Feb 2020
1:46.20,Joseph DENG,07 Jul 1998,AUS,"Stade Louis II, Monaco (MON)",14 Aug 2020
1:46.23,Tshepo TSHITE,15 Jan 1997,RSA,"Bestmed Tuks Stadium, Pretoria (RSA)",13 Mar 2020
1:46.24,Piers COPELAND,26 Nov 1998,GBR,"Slottsskogsvallen, Göteborg (SWE)",29 Aug 2020
1:46.24,Filip SASÍNEK,08 Jan 1996,CZE,"Slottsskogsvallen, Göteborg (SWE)",29 Aug 2020
1:46.25,Peter BOL,22 Feb 1994,AUS,"Slottsskogsvallen, Göteborg (SWE)",29 Aug 2020
1:46.25,Guy LEARMONTH,20 Apr 1992,GBR,"Suhaim bin Hamad Stadium, Doha (QAT)",25 Sep 2020
1:41.89,Nijel AMOS,15 Mar 1994,BOT,"Stade Louis II, Monaco (MON)",12 Jul 2019
1:42.34,Donavan BRAZIER,15 Apr 1997,USA,"Khalifa International Stadium, Doha (QAT)",01 Oct 2019
1:42.54,Ferguson Cheruiyot ROTICH,30 Nov 1989,KEN,"Stade Louis II, Monaco (MON)",12 Jul 2019
1:42.70,Donavan BRAZIER,15 Apr 1997,USA,"Letzigrund, Zürich (SUI)",29 Aug 2019
1:42.98,Nijel AMOS,15 Mar 1994,BOT,"Letzigrund, Zürich (SUI)",29 Aug 2019
1:43.11,Timothy CHERUIYOT,20 Nov 1995,KEN,"Nyayo National Stadium, Nairobi (KEN)",22 Aug 2019
1:43.14,Ferguson Cheruiyot ROTICH,30 Nov 1989,KEN,"Olympic Stadium, London (GBR)",20 Jul 2019
1:43.47,Amel TUKA,09 Jan 1991,BIH,"Khalifa International Stadium, Doha (QAT)",01 Oct 2019
1:43.48,Wyclife KINYAMAL,02 Jul 1997,KEN,"Olympic Stadium, London (GBR)",20 Jul 2019
1:43.51,Brandon MCBRIDE,15 Jun 1994,CAN,"Letzigrund, Zürich (SUI)",29 Aug 2019
1:43.62,Amel TUKA,09 Jan 1991,BIH,"Stade Louis II, Monaco (MON)",12 Jul 2019
1:43.63,Donavan BRAZIER,15 Apr 1997,USA,"Stadio Olimpico, Roma (ITA)",06 Jun 2019
1:43.65,Nijel AMOS,15 Mar 1994,BOT,"Stadio Olimpico, Roma (ITA)",06 Jun 2019
1:43.69,Emmanuel Kipkurui KORIR,15 Jun 1995,KEN,"Letzigrund, Zürich (SUI)",29 Aug 2019
1:43.70,Michael SARUNI,18 Jun 1995,KEN,"Stade Louis II, Monaco (MON)",12 Jul 2019
1:43.74,Marcin LEWANDOWSKI,13 Jun 1987,POL,"Olympic Stadium, London (GBR)",20 Jul 2019
1:43.78,Wyclife KINYAMAL,02 Jul 1997,KEN,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 Jul 2019
1:43.78,Brandon MCBRIDE,15 Jun 1994,CAN,"Stade Charléty, Paris (FRA)",24 Aug 2019
1:43.82,Ferguson Cheruiyot ROTICH,30 Nov 1989,KEN,"Khalifa International Stadium, Doha (QAT)",01 Oct 2019
1:43.83,Brandon MCBRIDE,15 Jun 1994,CAN,"Stade Louis II, Monaco (MON)",12 Jul 2019
1:43.83,Wesley VÁZQUEZ,27 Mar 1994,PUR,"Stade Charléty, Paris (FRA)",24 Aug 2019
1:43.90,Brandon MCBRIDE,15 Jun 1994,CAN,"Stadio Olimpico, Roma (ITA)",06 Jun 2019
1:43.90,Cornelius TUWEI,24 May 1993,KEN,"Olympic Stadium, London (GBR)",20 Jul 2019
1:43.93,Ferguson Cheruiyot ROTICH,30 Nov 1989,KEN,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 Jul 2019
1:43.94,Clayton MURPHY,26 Feb 1995,USA,"Letzigrund, Zürich (SUI)",29 Aug 2019
1:43.96,Wesley VÁZQUEZ,27 Mar 1994,PUR,"Khalifa International Stadium, Doha (QAT)",29 Sep 2019
1:43.98,Michael SARUNI,18 Jun 1995,KEN,"New York, NY (USA) (i)",09 Feb 2019
1:43.99,Amel TUKA,09 Jan 1991,BIH,"Letzigrund, Zürich (SUI)",29 Aug 2019
1:44.01,Emmanuel Kipkurui KORIR,15 Jun 1995,KEN,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 Jul 2019
1:44.11,Ferguson Cheruiyot ROTICH,30 Nov 1989,KEN,"Stadio Olimpico, Roma (ITA)",06 Jun 2019
1:44.14,Brandon MCBRIDE,15 Jun 1994,CAN,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 Jul 2019
1:44.20,Ferguson Cheruiyot ROTICH,30 Nov 1989,KEN,"Khalifa International Stadium, Doha (QAT)",29 Sep 2019
1:44.25,Marco AROP,20 Sep 1998,CAN,Lima (PER),10 Aug 2019
1:44.25,Bryce HOPPEL,05 Sep 1997,USA,"Khalifa International Stadium, Doha (QAT)",01 Oct 2019
1:44.29,Nijel AMOS,15 Mar 1994,BOT,"Khalifa International Stadium, Doha (QAT)",03 May 2019
1:44.33,Abubaker Haydar ABDALLA,28 Aug 1996,QAT,Doha (QAT),22 Apr 2019
1:44.38,Nijel AMOS,15 Mar 1994,BOT,"Olympic Stadium, Nanjing (CHN)",21 May 2019
1:44.38,Ayanleh SOULEIMAN,03 Dec 1992,DJI,Barcelona (ESP),17 Jul 2019
1:44.40,Wesley VÁZQUEZ,27 Mar 1994,PUR,"Stade Louis II, Monaco (MON)",12 Jul 2019
1:44.41,Donavan BRAZIER,15 Apr 1997,USA,"New York, NY (USA) (i)",09 Feb 2019
1:44.41,Bryce HOPPEL,05 Sep 1997,USA,"Austin, TX (USA)",07 Jun 2019
1:44.41,Michael SARUNI,18 Jun 1995,KEN,"Stade Charléty, Paris (FRA)",24 Aug 2019
1:44.42,Wesley VÁZQUEZ,27 Mar 1994,PUR,"Olympic Stadium, London (GBR)",20 Jul 2019
1:44.42,Collins KIPRUTO,12 Apr 1994,KEN,Rovereto (ITA),27 Aug 2019
1:44.47,Clayton MURPHY,26 Feb 1995,USA,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 Jul 2019
1:44.48,Bryce HOPPEL,05 Sep 1997,USA,"Azusa, CA (USA)",09 Jul 2019
1:44.48,Wesley VÁZQUEZ,27 Mar 1994,PUR,Lima (PER),10 Aug 2019
1:44.48,Clayton MURPHY,26 Feb 1995,USA,"Khalifa International Stadium, Doha (QAT)",29 Sep 2019
1:44.48,Wesley VÁZQUEZ,27 Mar 1994,PUR,"Khalifa International Stadium, Doha (QAT)",01 Oct 2019
1:44.50,Emmanuel Kipkurui KORIR,15 Jun 1995,KEN,"Khalifa International Stadium, Doha (QAT)",03 May 2019
1:44.50,Jonathan KITILIT,06 Jul 1995,KEN,"Nyayo National Stadium, Nairobi (KEN)",22 Aug 2019
1:44.50,Alfred KIPKETER,28 Dec 1996,KEN,"Estadio Vallehermoso, Madrid (ESP)",25 Aug 2019
1:44.52,Jamie WEBB,01 Jun 1994,GBR,"Olympic Stadium, London (GBR)",20 Jul 2019
1:44.57,Alex Ngeno KIPNGETICH,17 Aug 2000,KEN,"Nyayo National Stadium, Nairobi (KEN)",13 Sep 2019
1:44.59,Clayton MURPHY,26 Feb 1995,USA,"Stadio Olimpico, Roma (ITA)",06 Jun 2019
1:44.59,Collins KIPRUTO,12 Apr 1994,KEN,"Stade Charléty, Paris (FRA)",24 Aug 2019
1:44.60,Timothy CHERUIYOT,20 Nov 1995,KEN,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",20 Jul 2019
1:44.61,Adam KSZCZOT,02 Sep 1989,POL,"Olympic Stadium, London (GBR)",20 Jul 2019
1:44.62,Emmanuel Kipkurui KORIR,15 Jun 1995,KEN,"Nyayo National Stadium, Nairobi (KEN)",13 Sep 2019
1:44.63,Brandon MCBRIDE,15 Jun 1994,CAN,Montréal (CAN),27 Jul 2019
1:44.63,Ferguson Cheruiyot ROTICH,30 Nov 1989,KEN,"Nyayo National Stadium, Nairobi (KEN)",13 Sep 2019
1:44.65,Wyclife KINYAMAL,02 Jul 1997,KEN,"Stadio Olimpico, Roma (ITA)",06 Jun 2019
1:44.68,Wesley VÁZQUEZ,27 Mar 1994,PUR,"Nashville, TN (USA)",31 May 2019
1:44.68,Craig ENGELS,01 May 1994,USA,"Azusa, CA (USA)",09 Jul 2019
1:44.69,Tshepo TSHITE,15 Jan 1997,RSA,Pretoria (RSA),16 Mar 2019
1:44.69,Adam KSZCZOT,02 Sep 1989,POL,"Stade Louis II, Monaco (MON)",12 Jul 2019
1:44.70,Donavan BRAZIER,15 Apr 1997,USA,"Khalifa International Stadium, Doha (QAT)",03 May 2019
1:44.74,Adam KSZCZOT,02 Sep 1989,POL,"Stadio Olimpico, Roma (ITA)",06 Jun 2019
1:44.74,Cornelius TUWEI,24 May 1993,KEN,Nairobi (KEN),22 Jun 2019
1:44.74,Cornelius TUWEI,24 May 1993,KEN,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",03 Jul 2019
1:44.75,Emmanuel Kipkurui KORIR,15 Jun 1995,KEN,"Olympic Stadium, London (GBR)",20 Jul 2019
1:44.76,Devin DIXON,22 Sep 1997,USA,"Fayetteville, AR (USA)",11 May 2019
1:44.78,Amel TUKA,09 Jan 1991,BIH,"Sports Park Mladost, Zagreb (CRO)",03 Sep 2019
1:44.82,Ryan SÁNCHEZ,22 Sep 1998,PUR,Ponce (PUR),27 Apr 2019
1:44.82,Abubaker Haydar ABDALLA,28 Aug 1996,QAT,"Khalifa International Stadium, Doha (QAT)",03 May 2019
1:44.84,Devin DIXON,22 Sep 1997,USA,"Austin, TX (USA)",07 Jun 2019
1:44.87,Amel TUKA,09 Jan 1991,BIH,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 Jul 2019
1:44.87,Donavan BRAZIER,15 Apr 1997,USA,"Khalifa International Stadium, Doha (QAT)",29 Sep 2019
1:44.91,Cornelius TUWEI,24 May 1993,KEN,"Olympic Stadium, Nanjing (CHN)",21 May 2019
1:44.93,Clayton MURPHY,26 Feb 1995,USA,"Stade Charléty, Paris (FRA)",24 Aug 2019
1:44.95,Amel TUKA,09 Jan 1991,BIH,"Mestský Stadion, Ostrava (CZE)",20 Jun 2019
1:44.96,Andrés ARROYO,07 Jun 1995,PUR,"Marietta, GA (USA)",17 May 2019
1:44.97,Jonathan KITILIT,06 Jul 1995,KEN,"Khalifa International Stadium, Doha (QAT)",03 May 2019
1:44.97,Kyle LANGFORD,02 Feb 1996,GBR,"Olympic Stadium, London (GBR)",20 Jul 2019
1:44.97,Adrián BEN,04 Aug 1998,ESP,"Khalifa International Stadium, Doha (QAT)",29 Sep 2019
1:45.00,Edwin Kiplagat MELLY,23 Apr 1994,KEN,Gliwice (POL),02 Jun 2019
1:45.03,Mostafa SMAILI,09 Jan 1997,MAR,Barcelona (ESP),17 Jul 2019
1:45.03,Jesus Tonatiu LOPEZ,02 Aug 1997,MEX,"Portland, OR (USA)",19 Jul 2019
1:45.03,Elliot GILES,26 May 1994,GBR,"Olympic Stadium, London (GBR)",20 Jul 2019
1:45.04,Brandon MCBRIDE,15 Jun 1994,CAN,"Nashville, TN (USA)",31 May 2019
1:45.05,Festus LAGAT,10 Oct 1996,KEN,"Austin, TX (USA)",07 Jun 2019
1:45.05,Alfred KIPKETER,28 Dec 1996,KEN,Heusden-Zolder (BEL),20 Jul 2019
1:45.07,Pierre-Ambroise BOSSE,11 May 1992,FRA,"Stade Charléty, Paris (FRA)",24 Aug 2019
1:45.07,Marco AROP,20 Sep 1998,CAN,"Khalifa International Stadium, Doha (QAT)",29 Sep 2019
1:45.08,Jake WIGHTMAN,11 Jul 1994,GBR,"Stade Louis II, Monaco (MON)",12 Jul 2019
1:45.09,Jonathan KITILIT,06 Jul 1995,KEN,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",03 Jul 2019
1:45.09,Marcin LEWANDOWSKI,13 Jun 1987,POL,"Wieslaw Maniak Municipal Athletic Stadium, Szczecin (POL)",15 Aug 2019
1:45.10,Andreas KRAMER,13 Apr 1997,SWE,"Olympic Stadium, London (GBR)",20 Jul 2019
1:45.14,Adam KSZCZOT,02 Sep 1989,POL,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",12 Jun 2019
1:45.14,Alfred KIPKETER,28 Dec 1996,KEN,"Stade Raymond Petit, Tomblaine (FRA)",22 Jun 2019
1:42.05,Emmanuel Kipkurui KORIR,15 Jun 1995,KEN,"Olympic Stadium, London (GBR)",22 Jul 2018
1:42.14,Nijel AMOS,15 Mar 1994,BOT,"Stade Louis II, Monaco (MON)",20 Jul 2018
1:42.79,Emmanuel Kipkurui KORIR,15 Jun 1995,KEN,"Alexander Stadium, Birmingham (GBR)",18 Aug 2018
1:43.12,Clayton MURPHY,26 Feb 1995,USA,"Olympic Stadium, London (GBR)",22 Jul 2018
1:43.12,Wyclife KINYAMAL,02 Jul 1997,KEN,"Olympic Stadium, London (GBR)",22 Jul 2018
1:43.20,Brandon MCBRIDE,15 Jun 1994,CAN,"Stade Louis II, Monaco (MON)",20 Jul 2018
1:43.25,Michael SARUNI,18 Jun 1995,KEN,"Tucson, AZ (USA)",28 Apr 2018
1:43.29,Nijel AMOS,15 Mar 1994,BOT,"Olympic Stadium, London (GBR)",22 Jul 2018
1:43.46,Jonathan KITILIT,06 Jul 1995,KEN,Nairobi (KEN),23 Jun 2018
1:43.53,Jonathan KITILIT,06 Jul 1995,KEN,"Alexander Stadium, Birmingham (GBR)",18 Aug 2018
1:43.65,Saúl ORDÓÑEZ,10 Apr 1994,ESP,"Stade Louis II, Monaco (MON)",20 Jul 2018
1:43.73,Ferguson Cheruiyot ROTICH,30 Nov 1989,KEN,"Stade Charléty, Paris (FRA)",30 Jun 2018
1:43.77,Jonathan KITILIT,06 Jul 1995,KEN,"FBK Stadium, Hengelo (NED)",03 Jun 2018
1:43.82,Cornelius TUWEI,24 May 1993,KEN,"Stade Louis II, Monaco (MON)",20 Jul 2018
1:43.83,Jonathan KITILIT,06 Jul 1995,KEN,"Stade Charléty, Paris (FRA)",30 Jun 2018
1:43.91,Wyclife KINYAMAL,02 Jul 1997,KEN,"Shanghai Stadium, Shanghai (CHN)",12 May 2018
1:43.91,Jonathan KITILIT,06 Jul 1995,KEN,"Stade Louis II, Monaco (MON)",20 Jul 2018
1:43.95,Jonathan KITILIT,06 Jul 1995,KEN,"Shanghai Stadium, Shanghai (CHN)",12 May 2018
1:44.08,Ferguson Cheruiyot ROTICH,30 Nov 1989,KEN,"Bregyó Athletic Center, Székesfehérvár (HUN)",02 Jul 2018
1:44.08,Nijel AMOS,15 Mar 1994,BOT,"Sports Park Mladost, Zagreb (CRO)",04 Sep 2018
1:44.15,Elijah Motonei MANANGOI,05 Jan 1993,KEN,"Alexander Stadium, Birmingham (GBR)",18 Aug 2018
1:44.18,Nijel AMOS,15 Mar 1994,BOT,"Bregyó Athletic Center, Székesfehérvár (HUN)",02 Jul 2018
1:44.20,Pierre-Ambroise BOSSE,11 May 1992,FRA,"Stade Louis II, Monaco (MON)",20 Jul 2018
1:44.21,Emmanuel Kipkurui KORIR,15 Jun 1995,KEN,"New York, NY (USA) (i)",03 Feb 2018
1:44.21,Joseph DENG,07 Jul 1998,AUS,"Stade Louis II, Monaco (MON)",20 Jul 2018
1:44.26,Ferguson Cheruiyot ROTICH,30 Nov 1989,KEN,Nairobi (KEN),23 Jun 2018
1:44.28,Alfred KIPKETER,28 Dec 1996,KEN,"Stade Raymond Petit, Tomblaine (FRA)",27 Jun 2018
1:44.32,Marcin LEWANDOWSKI,13 Jun 1987,POL,"Stade Louis II, Monaco (MON)",20 Jul 2018
1:44.36,Saúl ORDÓÑEZ,10 Apr 1994,ESP,"Stade Charléty, Paris (FRA)",30 Jun 2018
1:44.38,Jonathan KITILIT,06 Jul 1995,KEN,Bellinzona (SUI),18 Jul 2018
1:44.42,Isaiah HARRIS,18 Oct 1996,USA,"Stade Charléty, Paris (FRA)",30 Jun 2018
1:44.43,Marcin LEWANDOWSKI,13 Jun 1987,POL,"Sports Park Mladost, Zagreb (CRO)",04 Sep 2018
1:44.44,Saúl ORDÓÑEZ,10 Apr 1994,ESP,Huelva (ESP),08 Jun 2018
1:44.44,Ferguson Cheruiyot ROTICH,30 Nov 1989,KEN,"Alexander Stadium, Birmingham (GBR)",18 Aug 2018
1:44.50,Jonathan KITILIT,06 Jul 1995,KEN,"Sports Park Mladost, Zagreb (CRO)",04 Sep 2018
1:44.56,Peter BOL,22 Feb 1994,AUS,"Olympiastadion, Stockholm (SWE)",10 Jun 2018
1:44.59,Adam KSZCZOT,02 Sep 1989,POL,"Olympiastadion, Berlin (GER)",11 Aug 2018
1:44.61,Joseph DENG,07 Jul 1998,AUS,"Olympiastadion, Stockholm (SWE)",10 Jun 2018
1:44.61,Jake WIGHTMAN,11 Jul 1994,GBR,"Olympic Stadium, London (GBR)",22 Jul 2018
1:44.62,Alfred KIPKETER,28 Dec 1996,KEN,"Stade Charléty, Paris (FRA)",30 Jun 2018
1:44.64,Jonathan KITILIT,06 Jul 1995,KEN,Nairobi (KEN),17 Feb 2018
1:44.64,Alfred KIPKETER,28 Dec 1996,KEN,"Bregyó Athletic Center, Székesfehérvár (HUN)",02 Jul 2018
1:44.65,Nijel AMOS,15 Mar 1994,BOT,"Palo Alto, CA (USA)",31 Mar 2018
1:44.65,Wyclife KINYAMAL,02 Jul 1997,KEN,"Stadio Olimpico, Roma (ITA)",31 May 2018
1:44.66,Cornelius TUWEI,24 May 1993,KEN,"Sports Park Mladost, Zagreb (CRO)",04 Sep 2018
1:44.67,Joseph DENG,07 Jul 1998,AUS,"Stade Charléty, Paris (FRA)",30 Jun 2018
1:44.69,Clayton MURPHY,26 Feb 1995,USA,"Bregyó Athletic Center, Székesfehérvár (HUN)",02 Jul 2018
1:44.72,Wyclife KINYAMAL,02 Jul 1997,KEN,Nairobi (KEN),17 Feb 2018
1:44.72,Adam KSZCZOT,02 Sep 1989,POL,"Olympic Stadium, London (GBR)",22 Jul 2018
1:44.72,Emmanuel Kipkurui KORIR,15 Jun 1995,KEN,"Boudewijnstadion, Bruxelles (BEL)",31 Aug 2018
1:44.73,Jackson Mumbwa KIVUVA,11 Aug 1989,KEN,Nairobi (KEN),23 Jun 2018
1:44.73,Guy LEARMONTH,20 Apr 1992,GBR,"Olympic Stadium, London (GBR)",22 Jul 2018
1:44.74,Ferguson Cheruiyot ROTICH,30 Nov 1989,KEN,"Stadio Olimpico, Roma (ITA)",31 May 2018
1:44.75,Marcin LEWANDOWSKI,13 Jun 1987,POL,"Alexander Stadium, Birmingham (GBR)",18 Aug 2018
1:44.76,Isaiah HARRIS,18 Oct 1996,USA,"Eugene, OR (USA)",08 Jun 2018
1:44.78,Jonathan KITILIT,06 Jul 1995,KEN,"Stadio Olimpico, Roma (ITA)",31 May 2018
1:44.90,Mostafa SMAILI,09 Jan 1997,MAR,"Sports Park Mladost, Zagreb (CRO)",04 Sep 2018
1:44.91,Cornelius TUWEI,24 May 1993,KEN,Nairobi (KEN),17 Feb 2018
1:44.97,Joseph DENG,07 Jul 1998,AUS,"FBK Stadium, Hengelo (NED)",03 Jun 2018
1:44.97,Daniel ROWDEN,09 Sep 1997,GBR,"Olympic Stadium, London (GBR)",22 Jul 2018
1:44.97,Adam KSZCZOT,02 Sep 1989,POL,"Alexander Stadium, Birmingham (GBR)",18 Aug 2018
1:44.99,Brandon MCBRIDE,15 Jun 1994,CAN,"Stadio Olimpico, Roma (ITA)",31 May 2018
1:44.99,Álvaro DE ARRIBA,02 Jun 1994,ESP,Huelva (ESP),08 Jun 2018
1:44.99,Marcin LEWANDOWSKI,13 Jun 1987,POL,"Stadion Śląski, Chorzów (POL)",22 Aug 2018
1:45.00,Jake WIGHTMAN,11 Jul 1994,GBR,"Alexander Stadium, Birmingham (GBR)",18 Aug 2018
1:45.03,Andreas KRAMER,13 Apr 1997,SWE,Karlstad (SWE),25 Jul 2018
1:45.03,Andreas KRAMER,13 Apr 1997,SWE,"Olympiastadion, Berlin (GER)",11 Aug 2018
1:45.04,Jesus Tonatiu LOPEZ,02 Aug 1997,MEX,Mt. Pleasant (USA),14 Jul 2018
1:45.04,Elliot GILES,26 May 1994,GBR,"Olympic Stadium, London (GBR)",22 Jul 2018
1:45.07,Erik SOWINSKI,21 Dec 1989,USA,"FBK Stadium, Hengelo (NED)",03 Jun 2018
1:45.09,Andrew OSAGIE,19 Feb 1988,GBR,"FBK Stadium, Hengelo (NED)",03 Jun 2018
1:45.10,Donavan BRAZIER,15 Apr 1997,USA,"Albuquerque, NM (USA) (i)",18 Feb 2018
1:45.10,Thiago ANDRÉ,04 Aug 1995,BRA,"FBK Stadium, Hengelo (NED)",03 Jun 2018
1:45.11,Donavan BRAZIER,15 Apr 1997,USA,"Reggie Lewis Center, Boston, MA (USA) (i)",10 Feb 2018
1:45.11,Wyclife KINYAMAL,02 Jul 1997,KEN,Gold Coast (AUS),12 Apr 2018
1:45.12,Nijel AMOS,15 Mar 1994,BOT,Gold Coast (AUS),10 Apr 2018
1:45.14,Antoine GAKEME,24 Dec 1991,BDI,Guadalajara (ESP),06 Jul 2018
1:45.15,Michael SARUNI,18 Jun 1995,KEN,"College Station, TX (USA) (i)",10 Mar 2018
1:45.15,Rynhardt VAN RENSBURG,23 Mar 1992,RSA,"FBK Stadium, Hengelo (NED)",03 Jun 2018
1:45.16,Kyle LANGFORD,02 Feb 1996,GBR,Gold Coast (AUS),12 Apr 2018
1:45.16,Emmanuel Kipkurui KORIR,15 Jun 1995,KEN,"Hayward Field, Eugene, OR (USA)",25 May 2018
1:45.18,Brandon MCBRIDE,15 Jun 1994,CAN,"Cambridge, MA (USA)",19 May 2018
1:45.19,Michael SARUNI,18 Jun 1995,KEN,"Lubbock, TX (USA) (i)",27 Jan 2018
1:45.19,Pierre-Ambroise BOSSE,11 May 1992,FRA,"Stade Charléty, Paris (FRA)",30 Jun 2018
1:45.20,Nicholas Kiplangat KIPKOECH,22 Oct 1992,KEN,"Stade Raymond Petit, Tomblaine (FRA)",27 Jun 2018
1:45.21,Emmanuel Kipkurui KORIR,15 Jun 1995,KEN,"Suhaim bin Hamad Stadium, Doha (QAT)",04 May 2018
1:45.21,Marcin LEWANDOWSKI,13 Jun 1987,POL,"Boudewijnstadion, Bruxelles (BEL)",31 Aug 2018
1:45.22,Boaz KIPRUGUT,18 May 1998,KEN,Nairobi (KEN),23 Jun 2018
1:45.25,Marco AROP,20 Sep 1998,CAN,"Eugene, OR (USA)",08 Jun 2018
1:45.25,Andrew OSAGIE,19 Feb 1988,GBR,"Olympic Stadium, London (GBR)",22 Jul 2018
1:45.27,Andreas KRAMER,13 Apr 1997,SWE,Göteborg (SWE),18 Aug 2018
1:45.28,Cornelius TUWEI,24 May 1993,KEN,Nairobi (KEN),23 Jun 2018
1:45.28,Ferguson Cheruiyot ROTICH,30 Nov 1989,KEN,"Boudewijnstadion, Bruxelles (BEL)",31 Aug 2018
1:45.30,Pierre-Ambroise BOSSE,11 May 1992,FRA,"Olympiastadion, Berlin (GER)",11 Aug 2018
1:45.31,Isaiah HARRIS,18 Oct 1996,USA,"Bloomington, IN (USA)",13 May 2018
1:45.31,Michael SARUNI,18 Jun 1995,KEN,"Eugene, OR (USA)",08 Jun 2018
1:45.32,Michał ROZMYS,13 Mar 1995,POL,"Olympiastadion, Berlin (GER)",11 Aug 2018
1:45.34,Cornelius TUWEI,24 May 1993,KEN,"Stade Raymond Petit, Tomblaine (FRA)",27 Jun 2018
1:45.34,Erik SOWINSKI,21 Dec 1989,USA,"Stade Charléty, Paris (FRA)",30 Jun 2018
1:45.34,Andreas KRAMER,13 Apr 1997,SWE,"Bregyó Athletic Center, Székesfehérvár (HUN)",02 Jul 2018
1:43.10,Emmanuel Kipkurui KORIR,15 Jun 1995,KEN,"Stade Louis II, Monaco (MON)",21 Jul 2017
1:43.18,Nijel AMOS,15 Mar 1994,BOT,"Olympic Stadium, London (GBR)",09 Jul 2017
1:43.60,Clayton MURPHY,26 Feb 1995,USA,"Torrance, CA (USA)",15 Apr 2017
